t,S_ref,R_ref,I_ref,C_ref,S_ode,R_ode,I_ode,C_ode,S_supermodel,R_supermodel,I_supermodel,C_supermodel,S_supernet,R_supernet,I_supernet,C_supernet
71.4,0.0033278386745453866,0.051046482715129564,0.009793709587230703,0.32552773986738387,0.0033278386745453866,0.051046482715129564,0.009793709587230703,0.32552773986738387,0.0,0.32207808,0.06171887,0.32141244,0.007828152,0.026794625,0.005413634,0.055158056
71.60000000000001,0.003184077341254821,0.05102359097095953,0.009814769016611468,0.294549679643468,0.003184077341254821,0.05102359097095953,0.009814769016611468,0.294549679643468,0.0,0.32188514,0.06192567,0.29105416,0.0078119477,0.026779655,0.0053979834,0.05497314
71.8,0.0030615438525090567,0.05102992829200484,0.009834853888312147,0.2665195716144347,0.0030615438525090567,0.05102992829200484,0.009834853888312147,0.2665195716144347,0.0,0.32187712,0.062128708,0.26358676,0.0077958615,0.026764566,0.005382332,0.054789092
72.0,0.0029568999452350845,0.05106271693999755,0.009854170832086609,0.2411568810379336,0.0029568999452350845,0.05106271693999755,0.009854170832086609,0.2411568810379336,0.0,0.3220358,0.06232869,0.23873498,0.0077797747,0.026749363,0.005366918,0.05460614
72.2,0.002867429348367663,0.05111948623733579,0.00987290007492767,0.21820776958203053,0.002867429348367663,0.05111948623733579,0.00987290007492767,0.21820776958203053,0.0,0.3223449,0.06252624,0.21624975,0.0077639245,0.026734043,0.005351385,0.054423947
72.4,0.002790903670061718,0.051198035086867016,0.009891199288085118,0.19744255482585554,0.002790903670061718,0.051198035086867016,0.009891199288085118,0.19744255482585554,0.0,0.32278994,0.062721916,0.19590573,0.0077480734,0.02671872,0.005336089,0.054242842
72.60000000000001,0.002725480931545578,0.05129639918698496,0.009909206756096661,0.17865341152073844,0.002725480931545578,0.05129639918698496,0.009909206756096661,0.17865341152073844,0.0,0.32335794,0.06291622,0.17749903,0.007732341,0.02670317,0.005320793,0.054062728
72.8,0.0026696280848594435,0.05141282239111261,0.009927044009854766,0.16165229160526917,0.0026696280848594435,0.05141282239111261,0.009927044009854766,0.16165229160526917,0.0,0.32403725,0.06310959,0.16084518,0.007716727,0.026687732,0.005305615,0.053883374
73.0,0.002622061264711124,0.051545731754978195,0.00994481803170511,0.14626904215708975,0.002622061264711124,0.051545731754978195,0.00994481803170511,0.14626904215708975,0.0,0.32481748,0.06330243,0.14577727,0.00770123,0.026672062,0.0052904366,0.05370511
73.2,0.00258169924540318,0.05169371586353803,0.009962623115589722,0.13234970244526445,0.00258169924540318,0.05169371586353803,0.009962623115589722,0.13234970244526445,0.0,0.3256892,0.063495085,0.1321443,0.007685852,0.026656277,0.0052754954,0.053527724
73.4,0.002547626812145035,0.05185550605329021,0.009980542446697232,0.11975496303953206,0.002547626812145035,0.05185550605329021,0.009980542446697232,0.11975496303953206,0.0,0.326644,0.06368788,0.11980962,0.0076704733,0.02664049,0.0052604354,0.05335132
73.60000000000001,0.002519065649606724,0.05202996016277796,0.009998649451157821,0.10835877155470575,0.002519065649606724,0.05202996016277796,0.009998649451157821,0.10835877155470575,0.0,0.3276743,0.0638811,0.10864961,0.007655212,0.026624588,0.0052456125,0.053175677
73.8,0.002495350993854174,0.05221604846499725,0.0100170089557596,0.09804707107603539,0.002495350993854174,0.05221604846499725,0.0100170089557596,0.09804707107603539,0.0,0.3287732,0.06407498,0.09855242,0.00764007,0.026608568,0.005230789,0.053001136
74.0,0.002475912755057939,0.05241284146391588,0.010035678189575731,0.08871665863926627,0.002475912755057939,0.05241284146391588,0.010035678189575731,0.08871665863926627,0.0,0.32993457,0.064269744,0.08941685,0.0076250453,0.026592549,0.005216084,0.05282747
74.2,0.00246026014827257,0.0526194992722845,0.010054707653142177,0.08027415234068974,0.00246026014827257,0.0526194992722845,0.010054707653142177,0.08027415234068974,0.0,0.33115277,0.06446559,0.08115133,0.0076101394,0.026576297,0.0052014976,0.052654672
74.4,0.0024479691059258028,0.05283526232607997,0.010074141875956408,0.07263505673966125,0.0024479691059258028,0.05283526232607997,0.010074141875956408,0.07263505673966125,0.0,0.3324228,0.06466269,0.07367301,0.007595232,0.026560163,0.0051869107,0.052482754
74.60000000000001,0.0024386719161656003,0.05305944322877285,0.01009402007924314,0.06572291719983145,0.0024386719161656003,0.05305944322877285,0.01009402007924314,0.06572291719983145,0.0,0.33374006,0.06486119,0.066906944,0.0075804438,0.026543794,0.005172442,0.052311823
74.8,0.002432048655746964,0.05329141955352364,0.01011437675790797,0.05946855470544893,0.002432048655746964,0.05329141955352364,0.01011437675790797,0.05946855470544893,0.0,0.3351004,0.06506124,0.0607853,0.0075657736,0.026527427,0.0051579736,0.052141655
75.0,0.00242782007857049,0.05353062746190243,0.01013524219318983,0.05380937349451702,0.00242782007857049,0.05353062746190243,0.01013524219318983,0.05380937349451702,0.0,0.33650014,0.06526295,0.055246726,0.007551103,0.02651094,0.0051436233,0.051972482
75.2,0.002425741690811893,0.05377655602330929,0.010156642905590546,0.048688734579371395,0.002425741690811893,0.05377655602330929,0.010156642905590546,0.048688734579371395,0.0,0.3379358,0.06546642,0.050235692,0.0075366683,0.026494456,0.005129392,0.051804293
75.4,0.0024255987972447907,0.05402874214013923,0.010178602056100015,0.04405538888465279,0.0024255987972447907,0.05402874214013923,0.010178602056100015,0.04405538888465279,0.0,0.33940434,0.065671735,0.045701973,0.007522234,0.026477855,0.00511516,0.051636867
75.60000000000001,0.0024272023452221706,0.054286766000443215,0.010201139802468543,0.039862964329335976,0.0024272023452221706,0.054286766000443215,0.010201139802468543,0.039862964329335976,0.0,0.34090295,0.06587898,0.041600116,0.0075077997,0.026461137,0.005101046,0.05147032
75.8,0.0024303854258364735,0.05455024699308264,0.01022427361624263,0.03606950171935696,0.0024303854258364735,0.05455024699308264,0.01022427361624263,0.03606950171935696,0.0,0.3424291,0.066088215,0.037889,0.0074936016,0.02644442,0.005087051,0.051304653
76.0,0.00243500031811702,0.05481884003084497,0.010248018565429423,0.032637034805894916,0.00243500031811702,0.05481884003084497,0.010248018565429423,0.032637034805894916,0.0,0.34398046,0.0662995,0.03453142,0.0074794027,0.026427586,0.005073055,0.051139865
76.2,0.002440915983249963,0.055092232235288086,0.0102723875669513,0.029531210306394717,0.002440915983249963,0.055092232235288086,0.0102723875669513,0.029531210306394717,0.0,0.34555495,0.066512875,0.03149371,0.0074653225,0.026410751,0.0050591785,0.05097607
76.4,0.0024480159328306725,0.055370139943713655,0.010297391612466908,0.026720944085367578,0.0024480159328306725,0.055370139943713655,0.010297391612466908,0.026720944085367578,0.0,0.34715065,0.06672839,0.028745413,0.00745136,0.0263938,0.0050453013,0.050813038
76.60000000000001,0.0024561964089230676,0.055652306004024786,0.010323039970645691,0.024178110053915684,0.0024561964089230676,0.055652306004024786,0.010323039970645691,0.024178110053915684,0.0,0.34876582,0.06694607,0.026258973,0.007437398,0.026376732,0.0050315424,0.050650775
76.80000000000001,0.0024653648248562222,0.05593849732760601,0.01034934036857167,0.02187725867438104,0.0024653648248562222,0.05593849732760601,0.01034934036857167,0.02187725867438104,0.0,0.3503989,0.06716593,0.024009455,0.007423554,0.026359664,0.0050179022,0.050489508
77.0,0.002475438424747591,0.05622850267399772,0.010376299154604833,0.01979536225281891,0.002475438424747591,0.05622850267399772,0.010376299154604833,0.01979536225281891,0.0,0.35204843,0.067388006,0.0219743,0.0074097095,0.026342597,0.0050042616,0.050329003
